"raw","day","dd.mm","home.team","away.team","home.score","away.score"
"  Orlando City SC         5-2  Columbus Crew SC","Sat","01.08","Orlando City SC","Columbus Crew SC",5,2
"  New England Revolution  3-1  Toronto FC","Sat","01.08","New England Revolution","Toronto FC",3,1
"  Sporting Kansas City    1-1  Houston Dynamo","Sat","01.08","Sporting Kansas City","Houston Dynamo",1,1
"  Colorado Rapids         1-3  LA Galaxy","Sat","01.08","Colorado Rapids","LA Galaxy",1,3
"  Seattle Sounders FC     0-3  Vancouver Whitecaps FC","Sat","01.08","Seattle Sounders FC","Vancouver Whitecaps FC",0,3
"  San Jose Earthquakes    0-0  Portland Timbers","Sun","02.08","San Jose Earthquakes","Portland Timbers",0,0
"  Chicago Fire            2-0  FC Dallas","Sun","02.08","Chicago Fire","FC Dallas",2,0
"  Montreal Impact         1-1  New York Red Bulls","Wed","05.08","Montreal Impact","New York Red Bulls",1,1
"  Toronto FC              4-1  Orlando City SC","Wed","05.08","Toronto FC","Orlando City SC",4,1
"  Portland Timbers        1-0  Chicago Fire","Fri","07.08","Portland Timbers","Chicago Fire",1,0
"  Toronto FC              1-3  Sporting Kansas City","Sat","08.08","Toronto FC","Sporting Kansas City",1,3
"  Orlando City SC         0-0  Philadelphia Union","Sat","08.08","Orlando City SC","Philadelphia Union",0,0
"  Montreal Impact         0-1  D.C. United ","Sat","08.08","Montreal Impact","D.C. United",0,1
"  Colorado Rapids         1-2  Columbus Crew SC","Sat","08.08","Colorado Rapids","Columbus Crew SC",1,2
"  Houston Dynamo          2-1  San Jose Earthquakes","Sat","08.08","Houston Dynamo","San Jose Earthquakes",2,1
"  Vancouver Whitecaps FC  4-0  Real Salt Lake","Sat","08.08","Vancouver Whitecaps FC","Real Salt Lake",4,0
"  LA Galaxy               3-1  Seattle Sounders FC","Sun","09.08","LA Galaxy","Seattle Sounders FC",3,1
"  New York Red Bulls      2-0  New York City FC","Sun","09.08","New York Red Bulls","New York City FC",2,0
"  New York City FC        3-1  D.C. United ","Thu","13.08","New York City FC","D.C. United",3,1
"  San Jose Earthquakes    1-0  Colorado Rapids","Fri","14.08","San Jose Earthquakes","Colorado Rapids",1,0
"  New York Red Bulls      3-0  Toronto FC","Sat","15.08","New York Red Bulls","Toronto FC",3,0
"  New England Revolution  2-0  Houston Dynamo","Sat","15.08","New England Revolution","Houston Dynamo",2,0
"  FC Dallas               1-2  LA Galaxy","Sat","15.08","FC Dallas","LA Galaxy",1,2
"  Sporting Kansas City    4-3  Vancouver Whitecaps FC","Sat","15.08","Sporting Kansas City","Vancouver Whitecaps FC",4,3
"  Real Salt Lake          0-1  Portland Timbers","Sat","15.08","Real Salt Lake","Portland Timbers",0,1
"  Seattle Sounders FC     4-0  Orlando City SC","Sun","16.08","Seattle Sounders FC","Orlando City SC",4,0
"  Philadelphia Union      3-3  Chicago Fire","Sun","16.08","Philadelphia Union","Chicago Fire",3,3
